2,3,4,5,6,7,8,9,10,1
3,4,5,6,7,8,9,10,11,2
4,5,6,7,8,9,10,11,12,3
5,6,7,8,9,10,11,12,13,4
6,7,8,9,10,11,12,13,14,5
7,8,9,10,11,12,13,14,15,6
8,9,10,11,12,13,14,15,16,7
9,10,11,12,13,14,15,16,17,8
10,11,12,13,14,15,16,17,18,9
0,-1,-2,-3,-4,-5,-6,-7,-8,1
1,0,-1,-2,-3,-4,-5,-6,-7,2
2,1,0,-1,-2,-3,-4,-5,-6,3
3,2,1,0,-1,-2,-3,-4,-5,4
4,3,2,1,0,-1,-2,-3,-4,5
5,4,3,2,1,0,-1,-2,-3,6
6,5,4,3,2,1,0,-1,-2,7
7,6,5,4,3,2,1,0,-1,8
8,7,6,5,4,3,2,1,0,9
1,2,3,4,5,6,7,8,9,0
2,4,6,8,10,12,14,16,18,0
3,6,9,12,15,18,21,24,27,0
4,8,12,16,20,24,28,32,36,0
5,10,15,20,25,30,35,40,45,0
6,12,18,24,30,36,42,48,54,0
7,14,21,28,35,42,49,56,63,0
8,16,24,32,40,48,56,64,72,0
9,18,27,36,45,54,63,72,81,0
